gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
ST6GAL2,Yes,Oncogene,Glycosylation ,Glycoprotein,Golgi apparatus,"Involved in glycan synthesis, modulating signaling and adhesion."
ST6GAL2-IT1,No,Unknown,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression.
PPP1R2P5,No,Unknown,,Non-coding RNA,Cytoplasm,Role in protein phosphatase regulation unclear.
LINC01789,No,Unknown,,Non-coding RNA,Nucleus,"Potential regulatory role, further studies needed."
LINC01885,No,Unknown,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression.
LINC01886,No,Unknown,,Non-coding RNA,Nucleus,"Potential regulatory role, further studies needed."
GACAT1,No,Unknown,,Non-coding RNA,Nucleus,"Potential role in gene regulation, need more study."
RGPD4-AS1,No,Unknown,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression.
RGPD4,No,Tumor Suppressor,Signaling ,Protein,Cytoplasm,"Involved in RNA processing, may affect cell signaling."
RPL22P8,No,Unknown,Ribosome Biogenesis,Ribosomal protein,Cytoplasm,"Involved in protein synthesis, unclear relation to cancer."
SRSF3P5,No,Unknown,Rna Splicing,Non-coding RNA,Nucleus,Potential regulation of splicing events in RNA.
SLC5A7,No,Unknown,Neurotransmitter Regulation,Transport protein,Cell membrane,May play a role in neurotransmitter transport.
LINC01593,No,Unknown,,Non-coding RNA,Nucleus,"Regulatory role in transcription, needs further study."
ACTP1,No,Tumor Suppressor,,Protein,Cytoplasm,Involved in cytoskeletal structure and integrity.
LINC01594,No,Unknown,,Non-coding RNA,Nucleus,"Potential gene regulation function, further studies needed."
SETD6P1,No,Neither,,Histone Methyltransferase,Nucleus,Involved in chromatin modification and gene regulation.
SULT1C3,No,Neither,Drug Metabolism,Sulfotransferase,Cytoplasm,"Catalyzes the sulfation of phenolic compounds, influencing drug metabolism."
WASF1P1,No,Neither,,Actin Regulatory Protein,Cytoplasm,Plays a role in actin cytoskeleton rearrangement.
SULT1C2,No,Neither,Drug Metabolism,Sulfotransferase,Cytoplasm,Involved in the detoxification and metabolism of various drugs.
SULT1C2P2,No,Neither,,Pseudogene,N/A,Likely non-functional; may have regulatory roles.
SULT1C2P1,No,Neither,,Pseudogene,N/A,Likely non-functional; may have regulatory roles.
GMCL1P2,No,Neither,,Pseudogene,N/A,Likely non-functional; may have regulatory roles.
SULT1C4,No,Neither,Drug Metabolism,Sulfotransferase,Cytoplasm,Contributes to sulphation processes affecting drug metabolism.
SMIM12P1,No,Neither,,Pseudogene,N/A,Non-functional; lacks robust characterization.
GCC2,Yes,Oncogene,Cell Signaling,Protein,Cytoplasm,Involved in neuronal differentiation and signaling pathways.
GCC2-AS1,No,Neither,,Long Non-Coding RNA,Nucleus,Potential regulatory role in gene expression.
LIMS1,No,Neither,Cell Adhesion,Adaptor Protein,Cytoplasm,Involved in cell adhesion and localization of cytoskeletal components.
LIMS1-AS1,No,Neither,,Long Non-Coding RNA,Nucleus,Potential regulatory role in LIMS1 expression.
RPL10P5,No,Neither,,Ribosomal Protein,Cytoplasm,Involved in protein synthesis as part of ribosomal structure.
RANBP2,No,Neither,Nuclear Transport,Protein,Nucleus,Involved in nuclear-cytoplasmic transport and RNA metabolism.
CCDC138,No,Neither,,Coiled-Coil Domain Protein,Cytoplasm,Potentially involved in cytoskeletal organization.
RPL39P16,No,Neither,,Ribosomal Protein,Cytoplasm,Involved in protein synthesis as part of ribosomal structure.
EDAR,No,Neither,Developmental ,Receptor Protein,Membrane,Plays a role in hair follicle development and other skin appendages.
SH3RF3-AS1,No,Neither,,Long Non-Coding RNA,Nucleus,Potential regulatory role in SH3RF3 expression.
SH3RF3,No,Neither,,E3 Ubiquitin Ligase,Cytoplasm,Involved in protein ubiquitination and degradation pathways.
MIR4436B2,No,Non-coding RNA,,Not applicable,Nucleus,Involved in gene regulation through miRNA activities.
LINC01106,No,Long non-coding RNA,,Not applicable,Nucleus,Regulatory role in gene expression and cellular functions.
ZBTB45P2,No,Pseudogene,,Not applicable,Not applicable,"Potential regulatory role, less characterized."
GPAA1P2,No,Pseudogene,,Not applicable,Not applicable,"Function not well-defined, suggests gene family relation."
LIMS4,Yes,Tumor suppressor,Cell Cycle Regulation,Protein,Cytoplasm/Nucleus,Involved in cell adhesion and signaling pathways.
RGPD6,No,Protein-coding,,Protein,Cytoplasm,Involved in neuronal signaling and synaptic functions.
RPL22P12,No,Pseudogene,,Not applicable,Not applicable,Related to ribosomal functions; limited activity known.
BUB1,Yes,Oncogene,Mitotic Checkpoint,Protein,Nucleus,Involved in chromosome segregation and mitotic checkpoints
ACOXL,No,Protein-coding,Mitochondrial Metabolism,Enzyme,Mitochondria,Involved in fatty acid metabolism.
RPL5P9,No,Pseudogene,,Not applicable,Not applicable,Related to ribosomal functions; specific role unclear.
ACOXL-AS1,No,Long non-coding RNA,,Not applicable,Nucleus,Regulatory role in metabolic pathways; less studied.
BCL2L11,Yes,Tumor suppressor,Apoptosis,Protein,Mitochondria,Promotes apoptosis and regulates cell survival.
MIR4435-2HG,No,Non-coding RNA,,Not applicable,Nucleus,Involved in gene regulation through miRNA activities.
RPS14P4,No,Pseudogene,,Not applicable,Not applicable,Related to ribosomal functions; specific role unclear.
MIR4435-2,No,Non-coding RNA,,Not applicable,Nucleus,Involved in gene regulatory functions as a miRNA.
PAFAH1B1P2,No,Pseudogene,,Not applicable,Not applicable,Related to phospholipid metabolism; less characterized.
SOCAR,No,Protein-coding,,Protein,Cytoplasm,Involves responses to stress and cell survival pathways.
DBF4P2,Yes,Oncogene,Dna Replication,Protein,Nucleus,Critical in cell cycle regulation and DNA replication.
RPL34P8,No,Pseudogene,,Not applicable,Not applicable,Related to ribosomal functions; specific role unclear.
CENPNP2,Yes,Oncogene,Chromosome Segregation,Protein,Nucleus,Involved in the formation and function of the kinetochore.
ANAPC1,Yes,Tumor Suppressor,Cell Cycle,Complex (E3 ligase),Cytoplasm / Nucleus,Regulates cell cycle by targeting proteins for degradation
MIR4771-2,No,N/A,,MicroRNA,N/A,Regulates gene expression via RNA interference
EEF1E1P1,No,N/A,,Protein,Cytoplasm,"Putative ribosomal protein, plays a role in translation"
MERTK,Yes,Oncogene,Immune Response,Receptor Tyrosine Kinase,Plasma Membrane,Crucial for phagocytosis and regulating inflammation
RN7SL297P,No,N/A,,Non-coding RNA,N/A,May have regulatory roles in gene expression
RTRAFP1,No,N/A,,Non-coding RNA,N/A,"Function currently unclear, possibly long non-coding RNA"
SLC30A6P1,No,N/A,,Transporter,Plasma Membrane,Potentially involved in zinc transport
TMEM87B,No,N/A,,Protein,Membrane,"Function still under investigation, possibly involved in transport"
FBLN7,No,N/A,,Glycoprotein,Extracellular Matrix,Involved in cell adhesion and extracellular matrix organization
ZC3H8,No,N/A,,Zinc Finger Protein,Nucleus,"Functions in RNA metabolism, potential regulatory roles"
ZC3H6,No,N/A,,Zinc Finger Protein,Nucleus,Potential role in RNA binding and regulation
NDUFB4P6,No,N/A,Mitochondrial,Protein,Mitochondrion,Possible role in mitochondrial function
RGPD8,No,N/A,,Protein,Cytoplasm,Role in regulating RNA metabolism
TTL,No,N/A,,Enzyme,Cytoplasm,"Involved in tubulin tyrosination, plays a role in microtubule stability"
POLR1B,Yes,Tumor Suppressor,Transcription,RNA Polymerase,Nucleus,"Part of RNA polymerase I complex, essential for rRNA synthesis"
CHCHD5,No,N/A,,Protein,Mitochondrion,May be involved in mitochondrial function
SLC20A1,No,N/A,Phosphate Transport,Transporter,Plasma Membrane,Functions in phosphate transport across membranes
NT5DC4,No,N/A,,Enzyme,Cytoplasm,Involved in nucleotide metabolism
CKAP2L,No,N/A,,Cytoskeletal Protein,Cytoplasm,Involved in microtubule organization and spindle assembly
IL1A,Yes,Oncogene,Inflammation,Cytokine,Secreted,Involved in inflammatory responses; can promote tumorigenesis
IL1B,Yes,Oncogene,Inflammatory And Immune Response,Cytokine,Extracellular,Pro-inflammatory cytokine involved in immune regulation.
XIAP,Yes,Oncogene,Apoptosis ,Inhibitor of apoptosis,Cytoplasm,Inhibits apoptotic processes and promotes cell survival.
IL37,No,Neither,Inflammatory Response,Cytokine,Extracellular,Anti-inflammatory cytokine that regulates the immune response.
CDK8P2,No,Neither,Cell Cycle Regulation,Cyclin-dependent kinase,Nucleus,Regulates cell cycle and transcription.
IL36G,No,Neither,Inflammatory Response,Cytokine,Extracellular,"Participates in the immune response, specifically in skin inflammation"
HMGN2P23,No,Neither,,Protein,Nucleus,"Potentially involved in chromatin dynamics, though little is known."
POLR2DP1,No,Neither,Transcription,RNA polymerase,Nucleus,Catalytic subunit of RNA polymerase II involved in mRNA synthesis.
IL36A,No,Neither,Inflammatory Response,Cytokine,Extracellular,Cytokine that promotes inflammatory responses.
IL36B,No,Neither,Inflammatory Response,Cytokine,Extracellular,Participates in the regulation of the immune system.
IL36RN,No,Neither,Immune Modulatory,Cytokine,Extracellular,"Antagonist of IL36 cytokines, with anti-inflammatory effects."
IL1F10,No,Neither,Immunological Signaling,Cytokine,Extracellular,Involved in the regulation of immune responses.
RNU6-1180P,No,Neither,,RNA,Nucleus,Potentially involved in RNA splicing.
IL1RN,No,Neither,Inflammatory Response,Cytokine,Extracellular,Inhibits the activity of pro-inflammatory cytokines.
PSD4,No,Neither,Signal Transduction,Protein,Cytoplasm,Involved in synaptic transmission in the nervous system.
PAX8-AS1,No,Neither,Developmental Processes,Non-coding RNA,Nucleus,"Regulatory role in gene expression, may influence PAX8 expression."
PAX8,Yes,Oncogene,Development And Thyroid Cancer,Transcription factor,Nucleus,Regulates gene expression involved in organ development and cancer.
IGKV1OR2-108,No,Neither,Immune Response,Immunoglobulin,Plasma membrane,Involved in antibody production and immune response.
CBWD2,No,Neither,Cell Signaling,Protein,Cytoplasm,Potential role in modulation of protein degradation pathways.
FOXD4L1,No,Neither,Developmental Processes,Transcription factor,Nucleus,Involved in embryonic development and regulation of target genes.
LINC01961,No,Neither,,Non-coding RNA,Nucleus,"Involved in gene regulation, though specific functions are unclear."
PGM5P4-AS1,Yes,Non-coding,Epigenetic Regulation,RNA,Nucleus,Involved in regulation of gene expression
PGM5P4,No,Tumor Suppressor,Cellular Metabolism,Protein,Cytoplasm,May be involved in metabolism
FAM138B,No,Non-coding,Possibly Involved In Cancer,RNA,Nucleus,"Potential regulatory role, unclear functionality"
MIR1302-3,Yes,Oncogene,Microrna ,miRNA,Cytoplasm,Regulation of gene expression via RNA silencing
WASH2P,No,Non-coding,Actin Cytoskeleton Signaling,RNA,Cytoplasm,Possible regulatory role in actin dynamics
DDX11L2,No,Non-coding,Rna Metabolism,RNA helicase (implied),Nucleus,Involved in RNA processing and metabolism
RPL23AP7,No,Non-coding,Ribosome Biogenesis,RNA,Nucleus,Role in ribosome assembly
RABL2A,No,Non-coding,Golgi Apparatus Function,Protein,Cytoplasm,Involved in cellular trafficking
SNRPA1P1,No,Non-coding,Splicing And Processing,RNA,Nucleus,Involved in mRNA splicing
ACRP1,No,Tumor Suppressor,Apoptosis And Survival,Protein,Cytoplasm,May promote apoptosis in response to stress
RNU6-744P,No,Non-coding,Splicing,snoRNA,Nucleus,Assist in RNA splicing
SLC35F5,No,Oncogene,Cellular Transport,Transport protein,Membrane,Involved in nucleotide sugar transport
MIR4782,Yes,Oncogene,Microrna ,miRNA,Cytoplasm,Regulation of target mRNA expression
ACTR3,No,Oncogene,Cell Movement,Protein,Cytoplasm,Involved in actin polymerization
LINC01191,No,Non-coding,Gene Regulation,RNA,Nucleus,Involved in regulation of gene expression
SEPHS1P7,No,Non-coding,Selenoprotein Synthesis,RNA,Nucleus,Regulatory role potentially in selenium metabolis
RNU2-41P,No,Non-coding,Rna Processing,snoRNA,Nucleus,Involvement in RNA modification
DPP10,Yes,Oncogene,Neurotransmitter Signaling,Protein,Cell membrane,Involved in the regulation of neurotransmission
DPP10-AS3,No,Non-coding,Possibly Involved In Cancer,RNA,Nucleus,"Regulatory role, unclear functionality"
DPP10-AS2,No,Non-coding,Possibly Involved In Cancer,RNA,Nucleus,"Regulatory role, unclear functionality"
DPP10-AS1,No,Non-coding RNA,,N/A,Nucleus,Potential regulatory role in gene expression.
RPSAP23,No,Non-coding RNA,,N/A,Nucleus,"Involved in ribosome biogenesis, potential role in translational regulation."
MTCYBP39,No,Non-coding RNA,,N/A,Mitochondria,May regulate mitochondrial function.
MTND1P28,No,Non-coding RNA,,N/A,Mitochondria,Role in mitochondrial genome regulation.
MTND2P21,No,Non-coding RNA,,N/A,Mitochondria,Involved in oxidative phosphorylation.
MTCO1P43,No,Non-coding RNA,,N/A,Mitochondria,May impact mitochondrial function.
RNU7-190P,No,Non-coding RNA,,N/A,Nucleus,Involved in the biogenesis of small nuclear RNAs.
DDX18,No,RNA Helicase,Rna Metabolism,Enzyme,Cytoplasm/Nucleus,Plays role in RNA processing and transport.
HTR5BP,No,Protein Coding,Neurotransmitter Signaling,Receptor,Cell membrane,Part of serotonin signaling pathways.
CCDC93,No,Protein Coding,Cell Cycle Regulation,TBD,Cytoplasm,Potential role in transcription regulation and cell cycle progression.
RN7SL111P,No,Non-coding RNA,,N/A,Nucleus,"Function unclear, may be involved in RNA splicing."
INSIG2,No,Protein Coding,Lipid Metabolism,Protein,Cytoplasm,Regulates cholesterol homeostasis and SREBP signaling.
THORLNC,No,Non-coding RNA,,N/A,Nucleus,Involved in regulating gene expression and splicing.
LINC01956,No,Non-coding RNA,,N/A,Nucleus,May be involved in regulation of nearby gene expression.
EN1,No,Protein Coding,Developmental ,Transcription factor,Nucleus,Regulates development and patterning.
MARCO,No,Protein Coding,Immune Response,Receptor,Cell membrane,Functions as a pattern recognition receptor in immune cells.
C1QL2,No,Protein Coding,Neurodevelopment,Secreted protein,Extracellular matrix,Involved in synaptic function and plasticity.
RN7SL468P,No,Non-coding RNA,,N/A,Nucleus,"Similar to RN7SL111P, with unclear functions."
STEAP3,No,Protein Coding,Cell Proliferation,Enzyme,Cytoplasm,Involved in iron metabolism and potential roles in tumor biology.
STEAP3-AS1,No,Non-coding RNA,,N/A,Nucleus,Potential regulatory role in gene expression linked to STEAP3.
C2orf76,Yes,Unknown,Potentially Involved In Cancer,Unknown,Unknown,"Involved in cellular processes, suggested in cancer research."
DBI,No,Oncogene,Neuroendocrine Signaling,Protein-Protein Interactions,Cytosol,Involved in the modulation of the GABAergic system; may influence proliferation.
TMEM37,No,Unknown,,Transmembrane Protein,Membrane,Potential role in cellular transport and signaling.
SCTR,Yes,Oncogene,G-Protein Signaling,Peptide Hormone,Extracellular,Involved in modulating endocrine functions; may play a role in tumorigenesis.
SCTR-AS1,No,Non-coding RNA,,Non-coding RNA,Nucleus,Regulatory role in gene expression; possible involvement in cancer.
CFAP221,No,Unknown,,Structural Protein,Cilia/Flagella,Part of the basal body of cilia; may be relevant in developmental processes.
TMEM177,No,Tumor Suppressor,Potential Involvement In Cancer,Transmembrane Protein,Membrane,Role in cellular homeostasis; suggested to play a role in cancer.
RPL17P15,No,Unknown,Ribosome Biogenesis,Ribosomal Protein,Cytoplasm,Involved in protein synthesis; role in cellular proliferation.
PTPN4,No,Tumor Suppressor,Cell Signaling,Protein Tyrosine Phosphatase,Cytoplasm,Plays a role in cell signaling pathways and may regulate cell growth.
RPL27P7,No,Unknown,Ribosome Biogenesis,Ribosomal Protein,Cytoplasm,Involved in protein synthesis; role in tumor suppression may be indirect.
EPB41L5,No,Tumor Suppressor,Cell-Cell Adhesion,Cytoskeletal Protein,Cytoplasm,May regulate cytoskeletal dynamics and impact cell growth.
MTATP6P26,No,Unknown,Mitochondrial Function,Mitochondrial Protein,Mitochondria,Role in ATP synthesis; potentially involved in metabolic regulation.
MTCO3P43,No,Unknown,Mitochondrial Respiratory Chain,Mitochondrial Protein,Mitochondria,Component of the electron transport chain; critical for energy production.
